epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.444,1.41745,2.67114,1.51657,0.48186,0.3702,0.36355,0.19617,1.2663,1.43975,1.47859,0.000208026,0.000208026,0.000208026
2,622.99,1.33844,1.96166,1.46262,0.55563,0.41906,0.44072,0.2382,1.2502,1.38803,1.46823,0.000406054,0.000406054,0.000406054
3,972.892,1.32295,1.81025,1.44731,0.58746,0.42795,0.45063,0.23231,1.23314,1.18904,1.4405,0.00059377,0.00059377,0.00059377
4,1318.06,1.30144,1.68617,1.43017,0.62194,0.4448,0.47215,0.25888,1.20457,1.09388,1.41636,0.000578594,0.000578594,0.000578594
5,1666.12,1.26168,1.58287,1.40037,0.70466,0.43053,0.48019,0.28142,1.16667,1.08062,1.39249,0.000563125,0.000563125,0.000563125
6,2016.05,1.2473,1.51377,1.39056,0.67499,0.51212,0.547,0.29863,1.14077,1,1.37013,0.000547656,0.000547656,0.000547656
7,2364.38,1.23422,1.46961,1.38347,0.71102,0.47213,0.54104,0.28355,1.10491,0.96436,1.35509,0.000532187,0.000532187,0.000532187
8,2721.1,1.21008,1.41175,1.36262,0.78102,0.48512,0.55235,0.3152,1.10884,0.94152,1.34406,0.000516719,0.000516719,0.000516719
9,3075.9,1.19589,1.36813,1.35375,0.76171,0.56293,0.6109,0.34983,1.07093,0.89683,1.3261,0.00050125,0.00050125,0.00050125
10,3429.85,1.1771,1.31872,1.33906,0.77662,0.50412,0.57932,0.31347,1.05919,0.88568,1.30987,0.000485781,0.000485781,0.000485781
11,3786.25,1.17064,1.29508,1.33157,0.82096,0.54429,0.6161,0.34147,1.04171,0.84898,1.30573,0.000470312,0.000470312,0.000470312
12,4143.5,1.1507,1.25562,1.31659,0.74305,0.55914,0.60591,0.34547,1.04737,0.85525,1.3079,0.000454844,0.000454844,0.000454844
13,4501.29,1.14036,1.23469,1.31402,0.74786,0.57542,0.62837,0.36283,1.03712,0.81173,1.31224,0.000439375,0.000439375,0.000439375
14,4862.44,1.13253,1.21015,1.30162,0.78807,0.56644,0.63561,0.37385,1.01048,0.78885,1.289,0.000423906,0.000423906,0.000423906
15,5212.41,1.13131,1.18431,1.29816,0.78812,0.59787,0.65628,0.3705,1.03454,0.78841,1.2792,0.000408438,0.000408438,0.000408438
16,5555.18,1.1151,1.16583,1.28986,0.79976,0.59144,0.64663,0.36625,1.00036,0.77867,1.26472,0.000392969,0.000392969,0.000392969
17,5895.69,1.10682,1.14954,1.28878,0.80127,0.58825,0.65161,0.38235,0.9937,0.76914,1.26665,0.0003775,0.0003775,0.0003775
18,6239.35,1.10337,1.13204,1.28025,0.81812,0.60199,0.66843,0.39961,0.96883,0.7499,1.23788,0.000362031,0.000362031,0.000362031
19,6584.82,1.09029,1.10429,1.27334,0.79373,0.58028,0.64153,0.38159,0.96134,0.75279,1.24187,0.000346563,0.000346563,0.000346563
20,6931.96,1.0877,1.09923,1.27268,0.74289,0.59171,0.63906,0.36887,0.96974,0.76395,1.24501,0.000331094,0.000331094,0.000331094
21,7282.77,1.07799,1.09375,1.267,0.83228,0.59395,0.67724,0.39193,0.96286,0.71787,1.24223,0.000315625,0.000315625,0.000315625
22,7634.54,1.07253,1.06597,1.25504,0.82284,0.60265,0.66811,0.39626,0.94898,0.71174,1.22902,0.000300156,0.000300156,0.000300156
23,7988.01,1.06809,1.05859,1.25371,0.80451,0.62156,0.68497,0.40107,0.93684,0.70474,1.22973,0.000284688,0.000284688,0.000284688
24,8344.05,1.05272,1.03679,1.2481,0.84358,0.62108,0.68336,0.40326,0.9322,0.70243,1.22001,0.000269219,0.000269219,0.000269219
25,8699.27,1.05063,1.02351,1.24131,0.84236,0.61212,0.68326,0.41344,0.94018,0.69779,1.22187,0.00025375,0.00025375,0.00025375
26,9051.85,1.03594,1.00604,1.23366,0.87309,0.6127,0.69648,0.41244,0.93161,0.68746,1.22201,0.000238281,0.000238281,0.000238281
27,9402.97,1.03375,0.99327,1.22947,0.8009,0.65436,0.70375,0.41434,0.92288,0.675,1.21543,0.000222813,0.000222813,0.000222813
28,9756.66,1.02971,0.98558,1.229,0.84557,0.62089,0.69713,0.4168,0.9147,0.67485,1.21009,0.000207344,0.000207344,0.000207344
29,10108,1.02125,0.97338,1.22384,0.80795,0.64216,0.69595,0.42246,0.91809,0.66183,1.21422,0.000191875,0.000191875,0.000191875
30,10457.8,1.00802,0.9567,1.21745,0.84301,0.63414,0.69057,0.41177,0.91254,0.6687,1.20605,0.000176406,0.000176406,0.000176406
31,10799.1,1.04093,0.88931,1.24418,0.80898,0.6543,0.70576,0.42686,0.90566,0.65809,1.19853,0.000160938,0.000160938,0.000160938
32,11142.1,1.02597,0.8632,1.23693,0.80653,0.67307,0.72322,0.43595,0.90767,0.64337,1.1994,0.000145469,0.000145469,0.000145469
33,11481.8,1.01843,0.83981,1.22451,0.79481,0.65012,0.70795,0.43666,0.90186,0.64602,1.20028,0.00013,0.00013,0.00013
34,11820.8,1.00489,0.82658,1.21541,0.82792,0.64682,0.71972,0.43698,0.88991,0.63204,1.1927,0.000114531,0.000114531,0.000114531
35,12163.4,0.99689,0.81755,1.21195,0.80199,0.65888,0.71069,0.44042,0.89368,0.63227,1.19321,9.90625e-05,9.90625e-05,9.90625e-05
36,12503.3,0.99068,0.80678,1.21184,0.84955,0.64081,0.71923,0.44351,0.88524,0.62418,1.19253,8.35938e-05,8.35938e-05,8.35938e-05
37,12846.4,0.98177,0.79267,1.20298,0.83722,0.65471,0.72732,0.44685,0.88681,0.62352,1.19397,6.8125e-05,6.8125e-05,6.8125e-05
38,13186.3,0.97509,0.78139,1.1966,0.80952,0.66531,0.72407,0.44776,0.8816,0.61915,1.18807,5.26562e-05,5.26562e-05,5.26562e-05
39,13524.7,0.96952,0.77737,1.19317,0.85406,0.65039,0.72791,0.45125,0.88103,0.61711,1.18731,3.71875e-05,3.71875e-05,3.71875e-05
40,13861.8,0.9631,0.77085,1.18892,0.79956,0.66972,0.72536,0.45078,0.8763,0.61527,1.18489,2.17188e-05,2.17188e-05,2.17188e-05
